Replicon Accession,Start,End,Size,GI Prediction Program
NC_004070.1,1317409,1332003,14594,islandpick
NC_004631.1,1433013,1441929,8916,islandpick
NC_004631.1,4394219,4443107,48888,islandpick
NC_004631.1,4444857,4457470,12613,islandpick
NC_004631.1,4493224,4519408,26184,islandpick
NC_002655.2,1081801,1096853,15052,islandpick
NC_002655.2,1096872,1111966,15094,islandpick
NC_002655.2,1284699,1295528,10829,islandpick
NC_002655.2,1356418,1376480,20062,islandpick
NC_002655.2,1457638,1471193,13555,islandpick
NC_002655.2,1471210,1493451,22241,islandpick
NC_002655.2,1908951,1918862,9911,islandpick
NC_002655.2,2761272,2775799,14527,islandpick
NC_002655.2,3557785,3567445,9660,islandpick
NC_002655.2,5400272,5416181,15909,islandpick
NC_003198.1,1538737,1547653,8916,islandpick
NC_003198.1,2759689,2768828,9139,islandpick
NC_003198.1,4409569,4459514,49945,islandpick
NC_003198.1,4461264,4473872,12608,islandpick
NC_003198.1,4509638,4518267,8629,islandpick
NC_003198.1,4519049,4536599,17550,islandpick
NC_007434.1,1717352,1764564,47212,islandpick
NC_007434.1,1767601,1776607,9006,islandpick
NC_007434.1,1778178,1791894,13716,islandpick
NC_007434.1,1791911,1818305,26394,islandpick
NC_007434.1,1835657,1848039,12382,islandpick
NC_007434.1,2293554,2301718,8164,islandpick
NC_007434.1,4002707,4018248,15541,islandpick
NC_007005.1,115476,123600,8124,islandpick
NC_007005.1,2192687,2205968,13281,islandpick
NC_007005.1,3207334,3224257,16923,islandpick
NC_007005.1,3225701,3242945,17244,islandpick
NC_007005.1,3535302,3545408,10106,islandpick
NC_007005.1,5000247,5010063,9816,islandpick
NC_007005.1,5135290,5151222,15932,islandpick
NC_006086.1,1119538,1130450,10912,islandpick
NC_006086.1,1131678,1163837,32159,islandpick
NC_005773.3,116517,126051,9534,islandpick
NC_005773.3,900060,925154,25094,islandpick
NC_005773.3,1773784,1784985,11201,islandpick
NC_005773.3,2900992,2920080,19088,islandpick
NC_005773.3,3225936,3242361,16425,islandpick
NC_005773.3,4296400,4308962,12562,islandpick
NC_005773.3,4804726,4814224,9498,islandpick
NC_005773.3,4908446,4926799,18353,islandpick
NC_005773.3,5172263,5199193,26930,islandpick
NC_005773.3,5628836,5642436,13600,islandpick
NC_005773.3,5642564,5650801,8237,islandpick
NC_002488.3,1950067,1958721,8654,islandpick
NC_010513.1,973576,986338,12762,islandpick
NC_010465.1,862099,885750,23651,islandpick
NC_010465.1,1357137,1366835,9698,islandpick
NC_010465.1,826660,857724,31064,islandpick
NC_010465.1,803426,825520,22094,islandpick
NC_010465.1,431177,448449,17272,islandpick
NC_010465.1,448572,460062,11490,islandpick
NC_010465.1,238812,249039,10227,islandpick
NC_007705.1,1395006,1408528,13522,islandpick
NC_007705.1,46924,57549,10625,islandpick
NC_006834.1,4148806,4156929,8123,islandpick
NC_006834.1,3708044,3723826,15782,islandpick
NC_006834.1,3724164,3790336,66172,islandpick
NC_006834.1,3001944,3014266,12322,islandpick
NC_006834.1,3286612,3297271,10659,islandpick
NC_006834.1,2784431,2801714,17283,islandpick
NC_006834.1,1742700,1757309,14609,islandpick
NC_006834.1,1682946,1703670,20724,islandpick
NC_003919.1,2443784,2458843,15059,islandpick
NC_003919.1,2476254,2486039,9785,islandpick
NC_003919.1,2547725,2559224,11499,islandpick
NC_003919.1,2571788,2588991,17203,islandpick
NC_003919.1,4632297,4651428,19131,islandpick
NC_006834.1,119412,131393,11981,islandpick
NC_006834.1,140510,153956,13446,islandpick
NC_006834.1,1420620,1434140,13520,islandpick
NC_003919.1,1209349,1219806,10457,islandpick
NC_007508.1,3882499,3891777,9278,islandpick
NC_007508.1,2645376,2685682,40306,islandpick
NC_007508.1,2633639,2645037,11398,islandpick
NC_007508.1,2490742,2501596,10854,islandpick
NC_009708.1,913308,921945,8637,islandpick
NC_009708.1,2509173,2519054,9881,islandpick
NC_009708.1,2519360,2540421,21061,islandpick
NC_004088.1,3390242,3398734,8492,islandpick
NC_010159.1,1295405,1305522,10117,islandpick
NC_010159.1,1420244,1428740,8496,islandpick
NC_007508.1,244268,258410,14142,islandpick
NC_007508.1,2465941,2477628,11687,islandpick
NC_002516.2,2765408,2779414,14006,islandpick
NC_002516.2,1496897,1516701,19804,islandpick
NC_002516.2,1840403,1849943,9540,islandpick
NC_002516.2,1850184,1866278,16094,islandpick
NC_006155.1,4625620,4636664,11044,islandpick
NC_002516.2,1311423,1324804,13381,islandpick
NC_006155.1,3918395,3936988,18593,islandpick
NC_006155.1,4293893,4303278,9385,islandpick
NC_006155.1,2130637,2146272,15635,islandpick
NC_006155.1,2148212,2166586,18374,islandpick
NC_006155.1,2168874,2194607,25733,islandpick
NC_006155.1,2209918,2219722,9804,islandpick
NC_006155.1,2224488,2232679,8191,islandpick
NC_006155.1,3853588,3875780,22192,islandpick
NC_006155.1,3886164,3917255,31091,islandpick
NC_007705.1,1665966,1680054,14088,islandpick
NC_007705.1,1725001,1739610,14609,islandpick
NC_007705.1,2763892,2779357,15465,islandpick
NC_007705.1,2976042,2998803,22761,islandpick
NC_007705.1,2999140,3007525,8385,islandpick
NC_007705.1,3291798,3301117,9319,islandpick
NC_007705.1,3716394,3739402,23008,islandpick
NC_007705.1,3739740,3789730,49990,islandpick
NC_007705.1,4143983,4152725,8742,islandpick
NC_002488.3,506498,519762,13264,islandpick
NC_002488.3,1638648,1705339,66691,islandpick
NC_007086.1,2937271,2949789,12518,islandpick
NC_007086.1,2913231,2933282,20051,islandpick
NC_007086.1,471675,480288,8613,islandpick
NC_007086.1,2500870,2510018,9148,islandpick
NC_007086.1,2543760,2554480,10720,islandpick
NC_009708.1,848464,866567,18103,islandpick
NC_009708.1,784575,801706,17131,islandpick
NC_009708.1,807044,838053,31009,islandpick
NC_009708.1,709128,724475,15347,islandpick
NC_010465.1,3428809,3443828,15019,islandpick
NC_010465.1,3406184,3423871,17687,islandpick
NC_010465.1,2545879,2562027,16148,islandpick
NC_007086.1,3619601,3630706,11105,islandpick
NC_007899.1,476310,484863,8553,islandpick
NC_007899.1,517077,525578,8501,islandpick
NC_007899.1,781796,792268,10472,islandpick
NC_009900.1,716257,731573,15316,islandpick
NC_003902.1,2425070,2435727,10657,islandpick
NC_003902.1,1412639,1424176,11537,islandpick
NC_005945.1,472413,483231,10818,islandpick
NC_005945.1,3762949,3772843,9894,islandpick
NC_005945.1,4843089,4859723,16634,islandpick
NC_009085.1,674211,779645,105434,islandpick
NC_009085.1,783447,797399,13952,islandpick
NC_009085.1,1237265,1259581,22316,islandpick
NC_009085.1,3393606,3404662,11056,islandpick
NC_008253.1,1947503,1963489,15986,islandpick
NC_008253.1,3129482,3140899,11417,islandpick
NC_008253.1,3954645,3973938,19293,islandpick
NC_008253.1,3975680,3990567,14887,islandpick
NC_008253.1,3991068,4001865,10797,islandpick
NC_008253.1,4007740,4015904,8164,islandpick
NC_008253.1,4759317,4770213,10896,islandpick
NC_003902.1,2469228,2478376,9148,islandpick
NC_003902.1,3712907,3728330,15423,islandpick
NC_009783.1,1128886,1139973,11087,islandpick
NC_009783.1,1472577,1481533,8956,islandpick
NC_009783.1,1632747,1642058,9311,islandpick
NC_009783.1,1643578,1653811,10233,islandpick
NC_009783.1,1658594,1686604,28010,islandpick
NC_009783.1,1746582,1758323,11741,islandpick
NC_009783.1,1945714,1963089,17375,islandpick
NC_009783.1,1965518,1996774,31256,islandpick
NC_009783.1,2148370,2172143,23773,islandpick
NC_009783.1,2185399,2193822,8423,islandpick
NC_009783.1,2569947,2591636,21689,islandpick
NC_009783.1,2602765,2612840,10075,islandpick
NC_009783.1,3001487,3009520,8033,islandpick
NC_004603.1,1127423,1144253,16830,islandpick
NC_004603.1,1404418,1424623,20205,islandpick
NC_004603.1,1469310,1491871,22561,islandpick
NC_004603.1,1496017,1507668,11651,islandpick
NC_004603.1,1508133,1522207,14074,islandpick
NC_004603.1,1879116,1888855,9739,islandpick
NC_004603.1,1889186,1901485,12299,islandpick
NC_004603.1,2239932,2254131,14199,islandpick
NC_004459.2,68454,110789,42335,islandpick
NC_004459.2,2030645,2042747,12102,islandpick
NC_010551.1,411634,425271,13637,islandpick
NC_010380.1,32126,58170,26044,islandpick
NC_004368.1,1395289,1419011,23722,islandpick
NC_004368.1,1382305,1395262,12957,islandpick
NC_004368.1,1163554,1197455,33901,islandpick
NC_010582.1,1205381,1213724,8343,islandpick
NC_010582.1,1266101,1277967,11866,islandpick
NC_010582.1,343926,354348,10422,islandpick
NC_008023.1,1063758,1120860,57102,islandpick
NC_007297.1,1410055,1421842,11787,islandpick
NC_008022.1,791058,805632,14574,islandpick
NC_008024.1,1621460,1670326,48866,islandpick
NC_005139.1,143180,155865,12685,islandpick
NC_005139.1,1608282,1631390,23108,islandpick
NC_010380.1,66495,99217,32722,islandpick
NC_010380.1,1906447,1915282,8835,islandpick
NC_010380.1,2044161,2055033,10872,islandpick
NC_007432.1,465200,484005,18805,islandpick
NC_007432.1,653795,673578,19783,islandpick
NC_007432.1,693349,702328,8979,islandpick
NC_004116.1,1843032,1852236,9204,islandpick
NC_003923.1,1536219,1556315,20096,islandpick
NC_002758.2,436003,464311,28308,islandpick
NC_007793.1,1553008,1573103,20095,islandpick
NC_009782.1,436006,464315,28309,islandpick
NC_009632.1,1097279,1113909,16630,islandpick
NC_009487.1,1097405,1114035,16630,islandpick
NC_004741.1,241851,256077,14226,islandpick
NC_004741.1,706669,717741,11072,islandpick
NC_004741.1,725259,741603,16344,islandpick
NC_004741.1,1179331,1189980,10649,islandpick
NC_008258.1,238333,249717,11384,islandpick
NC_008258.1,324413,333839,9426,islandpick
NC_008258.1,1194518,1208294,13776,islandpick
NC_008258.1,3863845,3872029,8184,islandpick
NC_008258.1,3957478,3967089,9611,islandpick
NC_003047.1,493140,503967,10827,islandpick
NC_003047.1,539649,561403,21754,islandpick
NC_003047.1,1836435,1845540,9105,islandpick
NC_003047.1,2483206,2496703,13497,islandpick
NC_003047.1,3356259,3375744,19485,islandpick
NC_003047.1,3375844,3385114,9270,islandpick
NC_003047.1,3399664,3438596,38932,islandpick
NC_007606.1,406150,418491,12341,islandpick
NC_007606.1,952241,961243,9002,islandpick
NC_007606.1,1748015,1757342,9327,islandpick
NC_007384.1,1866301,1875760,9459,islandpick
NC_007384.1,2548468,2561327,12859,islandpick
NC_007384.1,2828296,2838104,9808,islandpick
NC_007384.1,4102876,4113137,10261,islandpick
NC_008322.1,656347,668193,11846,islandpick
NC_008322.1,1174647,1194550,19903,islandpick
NC_008322.1,2084661,2122889,38228,islandpick
NC_008322.1,2240189,2249745,9556,islandpick
NC_008322.1,2327487,2336922,9435,islandpick
NC_008322.1,2338858,2353094,14236,islandpick
NC_008322.1,2494720,2509929,15209,islandpick
NC_008322.1,2733623,2749042,15419,islandpick
NC_008322.1,3388775,3397371,8596,islandpick
NC_007613.1,1188250,1198102,9852,islandpick
NC_007613.1,1360277,1370907,10630,islandpick
NC_007613.1,4201499,4215539,14040,islandpick
NC_009901.1,1537165,1555075,17910,islandpick
NC_009901.1,1833596,1846907,13311,islandpick
NC_009901.1,2797984,2822651,24667,islandpick
NC_009901.1,5106242,5118313,12071,islandpick
NC_009438.1,177938,196352,18414,islandpick
NC_009438.1,215950,243828,27878,islandpick
NC_009438.1,243880,261527,17647,islandpick
NC_009438.1,269982,278967,8985,islandpick
NC_009438.1,279024,287601,8577,islandpick
NC_009438.1,1355766,1364379,8613,islandpick
NC_009438.1,2254131,2273610,19479,islandpick
NC_009438.1,2349264,2357632,8368,islandpick
NC_009438.1,3799163,3811836,12673,islandpick
NC_009438.1,4093403,4103477,10074,islandpick
NC_009438.1,4436885,4451459,14574,islandpick
NC_009438.1,4453721,4462446,8725,islandpick
NC_009438.1,4623976,4640565,16589,islandpick
NC_004347.1,1513563,1536749,23186,islandpick
NC_004347.1,1964627,1973282,8655,islandpick
NC_004347.1,2428053,2437847,9794,islandpick
NC_004347.1,2812095,2822987,10892,islandpick
NC_008750.1,338051,358399,20348,islandpick
NC_008750.1,454304,473320,19016,islandpick
NC_008750.1,736931,749604,12673,islandpick
NC_008750.1,1231170,1260648,29478,islandpick
NC_008750.1,1260665,1285055,24390,islandpick
NC_008750.1,1285769,1314518,28749,islandpick
NC_008750.1,1321439,1334143,12704,islandpick
NC_008750.1,2257042,2272262,15220,islandpick
NC_008750.1,2335776,2348796,13020,islandpick
NC_008750.1,3308132,3342855,34723,islandpick
NC_008750.1,3350484,3366056,15572,islandpick
NC_008750.1,3366901,3377054,10153,islandpick
NC_009665.1,642102,650843,8741,islandpick
NC_009665.1,653689,684682,30993,islandpick
NC_009665.1,691563,721135,29572,islandpick
NC_009665.1,722194,733069,10875,islandpick
NC_009665.1,2237111,2246644,9533,islandpick
NC_009665.1,2332821,2342724,9903,islandpick
NC_009665.1,2354372,2368451,14079,islandpick
NC_009665.1,2492828,2501913,9085,islandpick
NC_009665.1,2501930,2514312,12382,islandpick
NC_009665.1,2607307,2624859,17552,islandpick
NC_009665.1,3031136,3039466,8330,islandpick
NC_009665.1,3042153,3052500,10347,islandpick
NC_009665.1,3860646,3883912,23266,islandpick
NC_009665.1,3888875,3898162,9287,islandpick
NC_009665.1,3973592,3996618,23026,islandpick
NC_009665.1,4002703,4014772,12069,islandpick
NC_009665.1,4735185,4747008,11823,islandpick
NC_009665.1,5040136,5054369,14233,islandpick
NC_007109.1,1023014,1036450,13436,islandpick
NC_010334.1,629042,637906,8864,islandpick
NC_010334.1,768728,784588,15860,islandpick
NC_010334.1,784634,808858,24224,islandpick
NC_009879.1,495692,505731,10039,islandpick
NC_009879.1,700937,713514,12577,islandpick
NC_008321.1,1999635,2045693,46058,islandpick
NC_008321.1,2206971,2222121,15150,islandpick
NC_008321.1,2350996,2373507,22511,islandpick
NC_008321.1,2377916,2387342,9426,islandpick
NC_008321.1,2465209,2474510,9301,islandpick
NC_008321.1,2665661,2678193,12532,islandpick
NC_008321.1,3826008,3838042,12034,islandpick
NC_008321.1,3839313,3850188,10875,islandpick
NC_008321.1,4036256,4048110,11854,islandpick
NC_008577.1,1471752,1483332,11580,islandpick
NC_008577.1,1486874,1503681,16807,islandpick
NC_008577.1,2420770,2435556,14786,islandpick
NC_008577.1,2512418,2527378,14960,islandpick
NC_008577.1,2614867,2634658,19791,islandpick
NC_008577.1,2814443,2837691,23248,islandpick
NC_009052.1,916639,927354,10715,islandpick
NC_009052.1,1311969,1320670,8701,islandpick
NC_009052.1,1446557,1461145,14588,islandpick
NC_009052.1,2113916,2122385,8469,islandpick
NC_009052.1,2525465,2542678,17213,islandpick
NC_009052.1,2689966,2699777,9811,islandpick
NC_009052.1,4164561,4175117,10556,islandpick
NC_009052.1,4177052,4187631,10579,islandpick
NC_009997.1,676390,685131,8741,islandpick
NC_009997.1,685194,716456,31262,islandpick
NC_009997.1,716705,755498,38793,islandpick
NC_009997.1,905287,913298,8011,islandpick
NC_009997.1,1716273,1725250,8977,islandpick
NC_009997.1,2078845,2090633,11788,islandpick
NC_009997.1,2420071,2430010,9939,islandpick
NC_009997.1,2525545,2534713,9168,islandpick
NC_009997.1,2664070,2707192,43122,islandpick
NC_009997.1,2710870,2727256,16386,islandpick
NC_009997.1,3439234,3448526,9292,islandpick
NC_009997.1,3456691,3465750,9059,islandpick
NC_009997.1,4013866,4023227,9361,islandpick
NC_009997.1,5152915,5170165,17250,islandpick
NC_010102.1,1004641,1020617,15976,islandpick
NC_010102.1,4537530,4550447,12917,islandpick
NC_006905.1,1102775,1118336,15561,islandpick
NC_006905.1,1334961,1347690,12729,islandpick
NC_006905.1,4361767,4372459,10692,islandpick
NC_010067.1,916438,925788,9350,islandpick
NC_010067.1,1378423,1389021,10598,islandpick
NC_010067.1,2495104,2504494,9390,islandpick
NC_010067.1,2504662,2513937,9275,islandpick
NC_010067.1,3228443,3236962,8519,islandpick
NC_010067.1,4420633,4433186,12553,islandpick
NC_009840.1,381708,390354,8646,islandpick
NC_009840.1,1223998,1232971,8973,islandpick
NC_007761.1,607946,618541,10595,islandpick
NC_007761.1,622801,632013,9212,islandpick
NC_007761.1,784347,801357,17010,islandpick
NC_007761.1,801650,821709,20059,islandpick
NC_007761.1,1110338,1125822,15484,islandpick
NC_007761.1,1409147,1423195,14048,islandpick
NC_007761.1,2049656,2104831,55175,islandpick
NC_007761.1,3051925,3064514,12589,islandpick
NC_007577.1,1094853,1106091,11238,islandpick
NC_007577.1,1117509,1125653,8144,islandpick
NC_008819.1,784075,793520,9445,islandpick
NC_008819.1,814673,824227,9554,islandpick
NC_003112.2,505697,517958,12261,islandpick
NC_003112.2,1115818,1124798,8980,islandpick
NC_008817.1,687487,722132,34645,islandpick
NC_008817.1,738833,762569,23736,islandpick
NC_008817.1,762631,772410,9779,islandpick
NC_008817.1,777625,787840,10215,islandpick
NC_003116.1,1768444,1794900,26456,islandpick
NC_005071.1,91445,111704,20259,islandpick
NC_005071.1,111721,121912,10191,islandpick
NC_005071.1,1053339,1062215,8876,islandpick
NC_005071.1,1669420,1677644,8224,islandpick
NC_007335.2,1226513,1244694,18181,islandpick
NC_002946.2,477057,490952,13895,islandpick
NC_002946.2,1044450,1058427,13977,islandpick
NC_009135.1,450913,468393,17480,islandpick
NC_009135.1,577353,599729,22376,islandpick
NC_009135.1,1105172,1123963,18791,islandpick
NC_009975.1,17101,26656,9555,islandpick
NC_009975.1,48312,80486,32174,islandpick
NC_009975.1,387618,396047,8429,islandpick
NC_009637.1,1,17820,17819,islandpick
NC_009637.1,22869,31656,8787,islandpick
NC_009637.1,1449442,1458942,9500,islandpick
NC_009494.1,184784,203453,18669,islandpick
NC_009494.1,216196,233564,17368,islandpick
NC_009494.1,1770270,1787439,17169,islandpick
NC_009494.1,2403259,2413360,10101,islandpick
NC_009494.1,3037714,3075131,37417,islandpick
NC_006368.1,225853,234050,8197,islandpick
NC_006368.1,2768448,2777224,8776,islandpick
NC_006369.1,1194108,1203325,9217,islandpick
NC_002942.5,1386533,1395596,9063,islandpick
NC_002942.5,2296879,2314179,17300,islandpick
NC_002942.5,2332697,2346388,13691,islandpick
NC_002942.5,2346861,2361023,14162,islandpick
NC_000907.1,1102431,1111035,8604,islandpick
NC_000921.1,1015947,1032165,16218,islandpick
NC_000921.1,1045930,1055467,9537,islandpick
NC_008229.1,518491,528620,10129,islandpick
NC_008229.1,880191,889642,9451,islandpick
NC_008229.1,956326,964833,8507,islandpick
NC_008229.1,1152153,1164707,12554,islandpick
NC_008229.1,1396610,1406612,10002,islandpick
NC_008229.1,1413629,1428067,14438,islandpick
NC_007146.2,1408265,1456547,48282,islandpick
NC_007146.2,1590347,1598466,8119,islandpick
NC_007146.2,1714650,1728795,14145,islandpick
NC_000915.1,444992,466702,21710,islandpick
NC_000915.1,466741,479593,12852,islandpick
NC_003212.1,1246493,1295141,48648,islandpick
NC_003212.1,1716637,1762030,45393,islandpick
NC_003212.1,2412142,2431293,19151,islandpick
NC_010501.1,748088,760209,12121,islandpick
NC_010501.1,1530247,1539374,9127,islandpick
NC_010501.1,1874769,1892121,17352,islandpick
NC_010501.1,2201429,2213212,11783,islandpick
NC_010501.1,2213551,2224017,10466,islandpick
NC_010501.1,2234563,2243919,9356,islandpick
NC_010501.1,2520164,2534478,14314,islandpick
NC_010501.1,2534524,2552370,17846,islandpick
NC_010501.1,2622904,2633833,10929,islandpick
NC_010501.1,2889111,2897318,8207,islandpick
NC_010501.1,3362364,3371754,9390,islandpick
NC_010501.1,3435127,3446655,11528,islandpick
NC_010501.1,3456983,3465349,8366,islandpick
NC_010501.1,3571802,3606135,34333,islandpick
NC_010501.1,3679924,3697434,17510,islandpick
NC_010501.1,3698357,3710437,12080,islandpick
NC_010501.1,4365618,4393995,28377,islandpick
NC_010501.1,4984951,4993590,8639,islandpick
NC_010501.1,4996727,5007573,10846,islandpick
NC_010501.1,5745686,5753802,8116,islandpick
NC_008309.1,454191,462234,8043,islandpick
NC_008309.1,671412,682322,10910,islandpick
NC_010519.1,243574,253653,10079,islandpick
NC_010519.1,256288,264355,8067,islandpick
NC_010519.1,514869,524945,10076,islandpick
NC_010519.1,692211,701601,9390,islandpick
NC_010519.1,746406,757789,11383,islandpick
NC_010519.1,1008386,1018506,10120,islandpick
NC_010519.1,1302910,1315844,12934,islandpick
NC_010519.1,1316094,1329964,13870,islandpick
NC_010519.1,1875916,1886324,10408,islandpick
NC_010519.1,1891923,1902857,10934,islandpick
NC_008601.1,42291,65824,23533,islandpick
NC_009567.1,739432,750434,11002,islandpick
NC_009567.1,758060,766848,8788,islandpick
NC_009512.1,1032368,1040723,8355,islandpick
NC_009512.1,2113777,2122986,9209,islandpick
NC_009512.1,2416247,2431622,15375,islandpick
NC_009512.1,2794361,2807256,12895,islandpick
NC_009512.1,3049808,3060112,10304,islandpick
NC_009512.1,3064726,3075700,10974,islandpick
NC_009512.1,3109634,3117680,8046,islandpick
NC_009512.1,3266714,3276293,9579,islandpick
NC_009512.1,3279575,3300416,20841,islandpick
NC_009512.1,3352565,3368599,16034,islandpick
NC_009512.1,3555605,3567517,11912,islandpick
NC_009512.1,4379970,4391076,11106,islandpick
NC_009512.1,4393805,4419562,25757,islandpick
NC_009512.1,4419647,4432014,12367,islandpick
NC_009512.1,5658409,5675521,17112,islandpick
NC_010322.1,589293,607080,17787,islandpick
NC_010322.1,774209,784797,10588,islandpick
NC_010322.1,1546621,1563682,17061,islandpick
NC_010322.1,1823418,1833418,10000,islandpick
NC_010322.1,1835095,1859357,24262,islandpick
NC_010322.1,1959529,1981738,22209,islandpick
NC_010322.1,2008675,2018070,9395,islandpick
NC_010322.1,2471008,2482264,11256,islandpick
NC_010322.1,3159686,3169902,10216,islandpick
NC_010322.1,3324198,3333162,8964,islandpick
NC_010322.1,3426231,3442844,16613,islandpick
NC_010322.1,3709626,3717895,8269,islandpick
NC_010322.1,3821573,3838268,16695,islandpick
NC_010322.1,4631435,4660597,29162,islandpick
NC_010322.1,4663989,4675420,11431,islandpick
NC_010322.1,5308854,5323342,14488,islandpick
NC_010322.1,5377891,5389588,11697,islandpick
NC_002947.3,1763627,1772777,9150,islandpick
NC_002947.3,2162619,2173664,11045,islandpick
NC_002947.3,2179371,2193934,14563,islandpick
NC_002947.3,2193987,2227517,33530,islandpick
NC_002947.3,2586093,2622773,36680,islandpick
NC_002947.3,2910053,2921967,11914,islandpick
NC_002947.3,2990014,2999149,9135,islandpick
NC_002947.3,3008955,3029481,20526,islandpick
NC_002947.3,3161334,3178192,16858,islandpick
NC_002947.3,3192695,3200993,8298,islandpick
NC_002947.3,3621850,3631999,10149,islandpick
NC_002947.3,4174319,4192669,18350,islandpick
NC_002947.3,4192863,4201783,8920,islandpick
NC_002947.3,4207859,4233555,25696,islandpick
NC_002947.3,4301440,4310594,9154,islandpick
NC_002947.3,4394934,4417945,23011,islandpick
NC_002947.3,4484323,4493066,8743,islandpick
NC_002947.3,4493111,4501310,8199,islandpick
NC_002947.3,4605993,4632481,26488,islandpick
NC_002947.3,5001721,5014127,12406,islandpick
NC_008463.1,288290,297901,9611,islandpick
