Replicon Accession,Start,End,Size,GI Prediction Program
NC_005810.1,525239,529348,4109,sigi_hmm
NC_005810.1,884534,899788,15254,sigi_hmm
NC_005810.1,1039588,1046676,7088,sigi_hmm
NC_005810.1,1670890,1674963,4073,sigi_hmm
NC_005810.1,3028119,3034142,6023,sigi_hmm
NC_005810.1,3149967,3166929,16962,sigi_hmm
NC_005810.1,3338210,3343276,5066,sigi_hmm
NC_005810.1,3344571,3349309,4738,sigi_hmm
NC_005810.1,3800896,3805529,4633,sigi_hmm
NC_005810.1,3923357,3931427,8070,sigi_hmm
NC_005810.1,3939616,3947725,8109,sigi_hmm
NC_005810.1,3972453,3981785,9332,sigi_hmm
NC_005810.1,4313360,4318396,5036,sigi_hmm
NC_005810.1,4485864,4490064,4200,sigi_hmm
NC_002488.3,499492,525194,25702,sigi_hmm
NC_002488.3,603402,614681,11279,sigi_hmm
NC_002488.3,672086,680060,7974,sigi_hmm
NC_002488.3,680903,686262,5359,sigi_hmm
NC_002488.3,801585,811220,9635,sigi_hmm
NC_002488.3,849013,874897,25884,sigi_hmm
NC_002488.3,955057,967841,12784,sigi_hmm
NC_002488.3,1417316,1423167,5851,sigi_hmm
NC_002488.3,1525117,1540497,15380,sigi_hmm
NC_002488.3,1609483,1619860,10377,sigi_hmm
NC_002488.3,1638946,1650923,11977,sigi_hmm
NC_002488.3,1694565,1704556,9991,sigi_hmm
NC_002488.3,1945929,1950072,4143,sigi_hmm
NC_002488.3,2007754,2017934,10180,sigi_hmm
NC_002488.3,2076130,2087526,11396,sigi_hmm
NC_002488.3,2292404,2300201,7797,sigi_hmm
NC_002488.3,2341400,2346889,5489,sigi_hmm
NC_002488.3,2365925,2380315,14390,sigi_hmm
NC_002488.3,2606518,2613794,7276,sigi_hmm
NC_002488.3,2620692,2630434,9742,sigi_hmm
NC_002488.3,2661512,2672468,10956,sigi_hmm
NC_003902.1,76037,82798,6761,sigi_hmm
NC_003902.1,164148,171730,7582,sigi_hmm
NC_003902.1,268442,273736,5294,sigi_hmm
NC_003902.1,398766,413006,14240,sigi_hmm
NC_003902.1,465420,477754,12334,sigi_hmm
NC_003902.1,632372,639545,7173,sigi_hmm
NC_003902.1,720431,739194,18763,sigi_hmm
NC_003902.1,1221554,1236206,14652,sigi_hmm
NC_003902.1,1258786,1264935,6149,sigi_hmm
NC_003902.1,1421815,1430862,9047,sigi_hmm
NC_003902.1,1446114,1454721,8607,sigi_hmm
NC_003902.1,1685794,1696136,10342,sigi_hmm
NC_003902.1,1698901,1710667,11766,sigi_hmm
NC_003902.1,1865420,1876077,10657,sigi_hmm
NC_003902.1,1880587,1910507,29920,sigi_hmm
NC_003902.1,1911978,1917137,5159,sigi_hmm
NC_003902.1,2217994,2227046,9052,sigi_hmm
NC_003902.1,2438209,2445329,7120,sigi_hmm
NC_003902.1,2476686,2487965,11279,sigi_hmm
NC_003902.1,2489792,2496639,6847,sigi_hmm
NC_003902.1,2942234,2951962,9728,sigi_hmm
NC_003902.1,2961373,2966236,4863,sigi_hmm
NC_003902.1,3069160,3076823,7663,sigi_hmm
NC_003902.1,3240284,3244331,4047,sigi_hmm
NC_003902.1,3434689,3446734,12045,sigi_hmm
NC_003902.1,3521619,3528996,7377,sigi_hmm
NC_003902.1,3537523,3541981,4458,sigi_hmm
NC_003902.1,3687906,3698633,10727,sigi_hmm
NC_003902.1,3700520,3728350,27830,sigi_hmm
NC_003902.1,3910543,3921725,11182,sigi_hmm
NC_003902.1,3923068,3928831,5763,sigi_hmm
NC_003902.1,4118401,4125655,7254,sigi_hmm
NC_003902.1,4252546,4259446,6900,sigi_hmm
NC_003902.1,4260248,4269999,9751,sigi_hmm
NC_003902.1,4435256,4441706,6450,sigi_hmm
NC_003902.1,4989855,4994738,4883,sigi_hmm
NC_006526.1,1477661,1483021,5360,sigi_hmm
NC_006526.1,1985478,2000659,15181,sigi_hmm
NC_006834.1,632862,638426,5564,sigi_hmm
NC_006834.1,793593,801660,8067,sigi_hmm
NC_006834.1,1422504,1431254,8750,sigi_hmm
NC_006834.1,1607027,1613012,5985,sigi_hmm
NC_006834.1,2385734,2396126,10392,sigi_hmm
NC_006834.1,3429342,3434049,4707,sigi_hmm
NC_006834.1,3653216,3659624,6408,sigi_hmm
NC_006834.1,3720130,3726100,5970,sigi_hmm
NC_010688.1,158695,166751,8056,sigi_hmm
NC_010688.1,389844,401064,11220,sigi_hmm
NC_010688.1,697516,702731,5215,sigi_hmm
NC_010688.1,828219,834552,6333,sigi_hmm
NC_010688.1,1198528,1219477,20949,sigi_hmm
NC_010688.1,1226414,1234087,7673,sigi_hmm
NC_010688.1,1917235,1925811,8576,sigi_hmm
NC_010688.1,2179493,2185455,5962,sigi_hmm
NC_010688.1,2537934,2548425,10491,sigi_hmm
NC_010688.1,2792312,2798307,5995,sigi_hmm
NC_010688.1,2809955,2814432,4477,sigi_hmm
NC_010688.1,3034624,3040628,6004,sigi_hmm
NC_010688.1,3046580,3054885,8305,sigi_hmm
NC_010688.1,3056945,3061202,4257,sigi_hmm
NC_010688.1,3063151,3068706,5555,sigi_hmm
NC_010688.1,3235728,3242901,7173,sigi_hmm
NC_010688.1,3243901,3251133,7232,sigi_hmm
NC_010688.1,3255568,3259702,4134,sigi_hmm
NC_010688.1,3492213,3499810,7597,sigi_hmm
NC_010688.1,3521424,3526709,5285,sigi_hmm
NC_010688.1,3530818,3543797,12979,sigi_hmm
NC_010688.1,3547871,3565508,17637,sigi_hmm
NC_010688.1,4246868,4256245,9377,sigi_hmm
NC_010688.1,5002377,5006789,4412,sigi_hmm
NC_007508.1,72385,76689,4304,sigi_hmm
NC_007508.1,112604,117650,5046,sigi_hmm
NC_007508.1,153906,159316,5410,sigi_hmm
NC_007508.1,244583,261747,17164,sigi_hmm
NC_007508.1,262591,268491,5900,sigi_hmm
NC_007508.1,308875,313037,4162,sigi_hmm
NC_007508.1,490135,494176,4041,sigi_hmm
NC_007508.1,693694,700490,6796,sigi_hmm
NC_007508.1,798048,802400,4352,sigi_hmm
NC_007508.1,1227118,1232523,5405,sigi_hmm
NC_007508.1,1243600,1255584,11984,sigi_hmm
NC_007508.1,1386857,1391023,4166,sigi_hmm
NC_007508.1,1453439,1457858,4419,sigi_hmm
NC_007508.1,1458947,1463835,4888,sigi_hmm
NC_007508.1,1521924,1527694,5770,sigi_hmm
NC_007508.1,2088295,2093486,5191,sigi_hmm
NC_007508.1,2550723,2555056,4333,sigi_hmm
NC_007508.1,2678446,2682647,4201,sigi_hmm
NC_007508.1,2795231,2802384,7153,sigi_hmm
NC_007508.1,3038146,3043682,5536,sigi_hmm
NC_007508.1,3071916,3078011,6095,sigi_hmm
NC_007508.1,3201019,3205931,4912,sigi_hmm
NC_007508.1,3860854,3866588,5734,sigi_hmm
NC_007508.1,3873967,3881044,7077,sigi_hmm
NC_007508.1,3889495,3899059,9564,sigi_hmm
NC_007508.1,4079803,4084519,4716,sigi_hmm
NC_007508.1,4290255,4306516,16261,sigi_hmm
NC_007508.1,4369445,4373688,4243,sigi_hmm
NC_007508.1,4482530,4490703,8173,sigi_hmm
NC_007508.1,4771695,4776008,4313,sigi_hmm
NC_007508.1,5101797,5107210,5413,sigi_hmm
NC_003919.1,110518,114780,4262,sigi_hmm
NC_003919.1,1209505,1227399,17894,sigi_hmm
NC_003919.1,1253185,1257832,4647,sigi_hmm
NC_003919.1,1324558,1329022,4464,sigi_hmm
NC_003919.1,1721945,1745565,23620,sigi_hmm
NC_003919.1,2233961,2241638,7677,sigi_hmm
NC_003919.1,2243064,2250263,7199,sigi_hmm
NC_003919.1,2582309,2589124,6815,sigi_hmm
NC_003919.1,2595000,2606418,11418,sigi_hmm
NC_003919.1,2634223,2638324,4101,sigi_hmm
NC_003919.1,2651703,2663487,11784,sigi_hmm
NC_003919.1,2818642,2824488,5846,sigi_hmm
NC_003919.1,2838193,2847010,8817,sigi_hmm
NC_003919.1,2962809,2967587,4778,sigi_hmm
NC_003919.1,3070678,3079134,8456,sigi_hmm
NC_003919.1,3096744,3104338,7594,sigi_hmm
NC_003919.1,3118232,3128919,10687,sigi_hmm
NC_003919.1,3406101,3411288,5187,sigi_hmm
NC_003919.1,3806072,3810390,4318,sigi_hmm
NC_003919.1,3839400,3845045,5645,sigi_hmm
NC_003919.1,3849403,3876086,26683,sigi_hmm
NC_003919.1,4624144,4650735,26591,sigi_hmm
NC_003919.1,4953153,4958905,5752,sigi_hmm
NC_003919.1,5029991,5036540,6549,sigi_hmm
NC_008009.1,148330,154229,5899,sigi_hmm
NC_008009.1,427971,435462,7491,sigi_hmm
NC_008009.1,446563,452609,6046,sigi_hmm
NC_008009.1,602176,608555,6379,sigi_hmm
NC_008009.1,613504,618779,5275,sigi_hmm
NC_008009.1,855744,861781,6037,sigi_hmm
NC_008009.1,1273664,1279817,6153,sigi_hmm
NC_008009.1,1839601,1845076,5475,sigi_hmm
NC_008009.1,2441590,2447978,6388,sigi_hmm
NC_008009.1,2908417,2916455,8038,sigi_hmm
NC_008009.1,3137664,3144379,6715,sigi_hmm
NC_008009.1,3542542,3546572,4030,sigi_hmm
NC_008009.1,3835897,3840488,4591,sigi_hmm
NC_008009.1,4212885,4216994,4109,sigi_hmm
NC_008009.1,5148071,5152159,4088,sigi_hmm
NC_008009.1,5159019,5168811,9792,sigi_hmm
NC_008009.1,5170319,5175552,5233,sigi_hmm
NC_008009.1,5178269,5184705,6436,sigi_hmm
NC_009464.1,390442,396043,5601,sigi_hmm
NC_009464.1,658871,668738,9867,sigi_hmm
NC_009464.1,1403484,1408228,4744,sigi_hmm
NC_009464.1,1492560,1505207,12647,sigi_hmm
NC_009464.1,2021626,2026546,4920,sigi_hmm
NC_009464.1,2381357,2386496,5139,sigi_hmm
NC_009464.1,2531094,2547963,16869,sigi_hmm
NC_009464.1,2696711,2702096,5385,sigi_hmm
NC_009464.1,2706736,2711053,4317,sigi_hmm
NC_010634.1,174841,179619,4778,sigi_hmm
NC_010634.1,1185174,1201015,15841,sigi_hmm
NC_010634.1,2130573,2139012,8439,sigi_hmm
NC_010634.1,2141702,2148217,6515,sigi_hmm
NC_010634.1,2818700,2823095,4395,sigi_hmm
NC_010634.1,3257972,3262216,4244,sigi_hmm
NC_010634.1,3518323,3531200,12877,sigi_hmm
NC_010634.1,3696277,3705609,9332,sigi_hmm
NC_010634.1,3731058,3736153,5095,sigi_hmm
NC_010634.1,3747848,3755030,7182,sigi_hmm
NC_010634.1,3770685,3779760,9075,sigi_hmm
NC_010634.1,3921440,3926653,5213,sigi_hmm
NC_010634.1,4470588,4488366,17778,sigi_hmm
NC_008800.1,2534688,2539240,4552,sigi_hmm
NC_008800.1,2541497,2549503,8006,sigi_hmm
NC_008800.1,2813939,2837836,23897,sigi_hmm
NC_008800.1,2844799,2856086,11287,sigi_hmm
NC_008800.1,3068765,3074393,5628,sigi_hmm
NC_008800.1,3339012,3357842,18830,sigi_hmm
NC_008800.1,3652152,3664204,12052,sigi_hmm
NC_008800.1,3962753,3972536,9783,sigi_hmm
NC_008800.1,4495212,4500513,5301,sigi_hmm
NC_008149.1,325700,330730,5030,sigi_hmm
NC_008149.1,655805,660872,5067,sigi_hmm
NC_008149.1,662167,666904,4737,sigi_hmm
NC_008149.1,1134496,1149353,14857,sigi_hmm
NC_008149.1,1446861,1452502,5641,sigi_hmm
NC_008149.1,1777316,1784292,6976,sigi_hmm
NC_008149.1,2523987,2528694,4707,sigi_hmm
NC_008149.1,2533590,2537617,4027,sigi_hmm
NC_008149.1,3279396,3286588,7192,sigi_hmm
NC_008149.1,3381655,3394536,12881,sigi_hmm
NC_008149.1,3533384,3542716,9332,sigi_hmm
NC_008149.1,3570618,3575611,4993,sigi_hmm
NC_008149.1,3583795,3591859,8064,sigi_hmm
NC_008149.1,3797311,3801420,4109,sigi_hmm
NC_008149.1,4069878,4074078,4200,sigi_hmm
NC_008149.1,4217600,4222305,4705,sigi_hmm
NC_010159.1,144158,153472,9314,sigi_hmm
NC_010159.1,176329,181322,4993,sigi_hmm
NC_010159.1,186018,194425,8407,sigi_hmm
NC_010159.1,265687,270425,4738,sigi_hmm
NC_010159.1,271720,276786,5066,sigi_hmm
NC_010159.1,746063,750133,4070,sigi_hmm
NC_010159.1,1295079,1313314,18235,sigi_hmm
NC_010159.1,2276973,2283222,6249,sigi_hmm
NC_010159.1,3041545,3047953,6408,sigi_hmm
NC_010159.1,3459146,3472458,13312,sigi_hmm
NC_008150.1,322261,329785,7524,sigi_hmm
NC_008150.1,338513,343506,4993,sigi_hmm
NC_004088.1,274727,278800,4073,sigi_hmm
NC_008150.1,370587,380663,10076,sigi_hmm
NC_004088.1,283057,287591,4534,sigi_hmm
NC_008150.1,521363,537006,15643,sigi_hmm
NC_004088.1,670361,674470,4109,sigi_hmm
NC_008150.1,634023,641214,7191,sigi_hmm
NC_004088.1,1206646,1221955,15309,sigi_hmm
NC_008150.1,1397417,1401426,4009,sigi_hmm
NC_004088.1,3513809,3526698,12889,sigi_hmm
NC_008150.1,1406322,1411029,4707,sigi_hmm
NC_004088.1,3665557,3674889,9332,sigi_hmm
NC_008150.1,2581013,2586635,5622,sigi_hmm
NC_004088.1,3715918,3723987,8069,sigi_hmm
NC_008150.1,2885475,2900798,15323,sigi_hmm
NC_004088.1,3865165,3869903,4738,sigi_hmm
NC_008150.1,3436047,3440785,4738,sigi_hmm
NC_004088.1,3871261,3876264,5003,sigi_hmm
NC_008150.1,3442080,3447146,5066,sigi_hmm
NC_008150.1,3802913,3807113,4200,sigi_hmm
NC_004088.1,4209068,4213621,4553,sigi_hmm
NC_008150.1,4380543,4385573,5030,sigi_hmm
NC_008150.1,4443191,4447300,4109,sigi_hmm
NC_008150.1,4637190,4641951,4761,sigi_hmm
NC_010577.1,130527,136167,5640,sigi_hmm
NC_009381.1,231890,236078,4188,sigi_hmm
NC_010577.1,366424,376780,10356,sigi_hmm
NC_009381.1,527830,532895,5065,sigi_hmm
NC_010577.1,454489,464701,10212,sigi_hmm
NC_009381.1,534190,538928,4738,sigi_hmm
NC_010577.1,854555,860416,5861,sigi_hmm
NC_009381.1,591561,603106,11545,sigi_hmm
NC_010577.1,1171901,1177349,5448,sigi_hmm
